sport,time,calories,distance,Duration,average,maximum,Data Source,Cal/HR,Location,note
Biking,2015-06-09 14:14:00.0,342,12070,00:49:23,153,-,2,2.24,DC,DC - HR avg low – added 20 beats
Tennis,2015-06-10 12:34:00.0,672,-,01:35:49,126,168,2,5.33,Kiwanis,TK
Biking,2015-06-11 10:54:00.0,460,12070,00:48:34,153,173,2,3.01,DC,DC
Biking,2015-06-12 10:37:00.0,528,12070,01:06:19,138,167,2,3.83,Flat,DC +~15 minutes flat tire
Tennis,2015-06-13 09:35:00.0,418,-,01:23:58,107,141,2,3.91,CTC,CTC
Biking,2015-06-19 09:54:00.0,569,12070,00:54:31,162,-,2,3.51,DC,DC - 25 to tanks. Very hot ride. Had to go slow on way back
Tennis,2015-06-21 13:56:00.0,173,-,00:36:52,106,-,2,1.63,CDS,CDS
Tennis,2015-06-23 13:06:00.0,245,-,00:36:41,125,161,2,1.96,MDN,MDN
Biking,2015-06-25 09:36:00.0,588,12070,00:54,162,-,2,3.63,DC,-
Tennis,2015-06-27 10:45:00.0,258,-,00:45:18,121,155,2,2.13,CDS,CDS
Tennis,2015-07-05 13:48:00.0,121,-,00:34:41,95,117,2,1.27,MP,MP
Tennis,2015-07-19 17:16:00.0,80,-,00:36:40,79,142,2,1.01,CDS,CDS
Tennis,2015-07-29 13:56:00.0,169,-,00:31:04,111,-,2,1.52,CDS,CDS
